X;Y;ID;Peck_count_1;Peck_count_2;Comment
1;12;1;2;1;
20;12;7;10;7;
33;12;14;0;0;
39;12;20;2;3;
40;12;21;2;1;
4;13;28;4;4;
9;13;33;16;15;
10;13;34;0;0;
11;13;35;0;0;
13;13;37;7;8;
17;13;38;10;10;
18;13;39;0;0;
22;13;42;6;6;
24;13;43;0;0;
25;13;44;0;0;
32;13;51;3;3;
35;13;54;1;1;
40;13;59;1;1;
7;14;68;0;0;
9;14;70;0;0;
12;14;73;1;1;
13;14;74;NA;NA;Duplicate pigeon, not counted
22;14;79;0;0;
26;14;82;0;0;
28;14;84;0;0;
29;14;85;16;16;
31;14;87;0;0;
34;14;89;3;3;
36;14;91;1;1;
41;14;96;NA;NA;Moved out of picture
42;14;97;NA;NA;Moved out of picture
8;15;100;5;5;
10;15;101;2;2;
15;15;103;8;8;
25;15;106;22;22;
27;15;108;38;40;
30;15;110;NA;;Duplicate pigeon, not counted
21;16;117;4;4;
22;16;118;NA;;Duplicate pigeon, not counted
28;16;121;1;1;
