Student_ID,Year,Bias_treatment,Expectation,Primer_understood,Foraging_percentage,Peck_rate_1,Peck_rate_2,First_response
1,2022,Satiated,,,,,,YES
2,2022,Hungry,Satiated,NO,12,0,1,YES
3,2022,Hungry,Hungry,YES,75,5,1,YES
4,2022,Hungry,,,,,,YES
5,2022,Satiated,Satiated,NO,35,3,10,YES
6,2022,Hungry,,,,,,YES
7,2022,Hungry,Hungry,YES,30,6,34,YES
8,2022,Hungry,,,,,,YES
9,2022,Hungry,Hungry,YES,15,22,7,YES
10,2022,Satiated,,,,,,YES
11,2022,Hungry,Hungry,YES,40,17,9,YES
12,2022,Hungry,Hungry,YES,5,6,4,YES
13,2022,Satiated,Satiated,YES,65,13,9,YES
14,2022,Satiated,Hungry,NO,50,4,1,YES
15,2022,Hungry,,,,,,YES
16,2022,Satiated,,,,,,YES
17,2022,Satiated,Hungry,NO,60,39,21,YES
18,2022,Satiated,,,,,,YES
19,2022,Hungry,,,,,,YES
20,2022,Hungry,,,,,,YES
21,2022,Hungry,,,,,,YES
22,2022,Satiated,Satiated,YES,15,0,5,YES
23,2022,Satiated,Hungry,NO,60,1,33,YES
24,2022,Hungry,Hungry,YES,15,21,7,YES
25,2022,Hungry,Satiated,NO,70,8,0,YES
26,2022,Hungry,Hungry,YES,35,4,10,YES
27,2022,Hungry,Hungry,YES,40,2,13,YES
28,2022,Hungry,,,,,,YES
29,2022,Satiated,Satiated,YES,45,12,1,YES
30,2022,Satiated,,,,,,YES
31,2022,Hungry,,,,,,YES
32,2022,Satiated,Satiated,YES,,2,1,YES
33,2022,Hungry,Hungry,YES,30,22,8,YES
34,2022,Hungry,Hungry,YES,13,21,3,YES
35,2022,Satiated,,,,,,YES
36,2022,Satiated,,,,,,YES
37,2022,Hungry,Hungry,YES,45,7,2,YES
38,2022,Satiated,Hungry,NO,72,0,11,YES
39,2022,Satiated,,,,,,YES
40,2022,Satiated,Satiated,YES,35,3,13,YES
41,2022,Hungry,,,,,,YES
42,2022,Satiated,Satiated,YES,40,5,26,YES
43,2022,Satiated,,,,,,YES
44,2022,Satiated,Hungry,NO,67,6,27,YES
45,2022,Satiated,,,,,,YES
46,2022,Hungry,Hungry,YES,60,1,10,YES
47,2022,Hungry,Hungry,YES,20,5,3,YES
48,2022,Hungry,,,,,,YES
49,2022,Satiated,,,,,,YES
50,2022,Satiated,,,,,,YES
51,2022,Hungry,,,,,,YES
52,2022,Hungry,Hungry,YES,20,4,5,YES
53,2022,Satiated,Satiated,YES,55,3,9,YES
54,2022,Satiated,Satiated,YES,30,12,1,YES
55,2022,Hungry,,,,,,YES
56,2022,Satiated,Satiated,YES,10,1,8,YES
57,2022,Satiated,,,,,,YES
58,2022,Hungry,Satiated,NO,60,1,39,YES
59,2022,Satiated,,,,,,YES
60,2021,Satiated,Satiated,YES,12,0,5,YES
60,2021,Satiated,Satiated,YES,9,0,0,NO
61,2021,Hungry,Satiated,NO,10,2,1,YES
62,2021,Satiated,Hungry,NO,70,10,5,YES
63,2021,Hungry,Hungry,YES,55,5,32,YES
65,2021,Satiated,NA,NA,10,19,0,YES
65,2021,Satiated,NA,NA,3,30,1,NO
66,2021,Satiated,Satiated,YES,35,4,12,YES
67,2021,Satiated,Satiated,YES,20,5,5,YES
68,2021,Hungry,Satiated,NO,20,5,0,YES
68,2021,Hungry,Satiated,NO,30,6,4,NO
69,2021,Hungry,Hungry,YES,80,36,1,YES
70,2021,Satiated,Hungry,NO,65,,,NA
70,2021,Satiated,Satiated,YES,40,0,5,NA
70,2021,Satiated,Hungry,NO,60,,,NA
72,2021,Hungry,Hungry,YES,20,2,25,YES
72,2021,Hungry,Satiated,NO,25,2,1,NO
74,2021,Hungry,Hungry,YES,65,4,28,YES
75,2021,Satiated,Hungry,NO,40,1,36,YES
76,2021,Hungry,Satiated,NO,50,5,8,YES
77,2021,Hungry,Satiated,NO,50,5,3,YES
78,2021,Satiated,Satiated,YES,10,2,6,YES
80,2021,Hungry,Satiated,NO,30,31,5,YES
81,2021,Hungry,Hungry,YES,87,8,21,YES
82,2021,Hungry,Satiated,NO,25,9,0,YES
85,2021,Satiated,Satiated,YES,20,16,8,YES
86,2021,Hungry,Hungry,YES,40,9,24,YES
199,2023,Hungry,Hungry,YES,60,24,27,YES
190,2023,Satiated,Hungry,NO,35,21,0,YES
179,2023,Hungry,Hungry,YES,20,18,3,YES
174,2023,Satiated,Satiated,YES,42,11,3,YES
177,2023,Hungry,Hungry,YES,40,9,10,YES
203,2023,Hungry,Hungry,YES,30,35,45,YES
193,2023,Satiated,Satiated,YES,10,1,43,YES
194,2023,Satiated,Hungry,NO,33,5,4,YES
186,2023,Hungry,Hungry,YES,60,8,0,YES
192,2023,Hungry,Hungry,YES,6,40,24,YES
185,2023,Satiated,Satiated,YES,30,3,8,YES
182,2023,Satiated,Satiated,YES,50,8,0,YES
197,2023,Hungry,Hungry,YES,20,4,7,YES
202,2023,Satiated,Satiated,YES,70,21,1,YES
198,2023,Hungry,Hungry,YES,60,28,0,YES
188,2023,Hungry,Hungry,YES,20,0,1,YES
189,2023,Satiated,Satiated,YES,5,0,1,YES
181,2023,Hungry,Hungry,YES,15,2,28,YES
196,2023,Satiated,Hungry,NO,15,5,2,YES
201,2023,Satiated,Satiated,YES,50,2,10,YES
180,2023,Satiated,Hungry,NO,30,12,11,YES
200,2023,Satiated,Satiated,YES,80,1,29,YES
176,2023,Hungry,Hungry,YES,10,0,0,YES
191,2023,Satiated,Satiated,YES,40,3,31,YES
178,2023,Satiated,Satiated,YES,20,8,1,YES
184,2023,Hungry,Hungry,YES,55,5,2,YES
187,2023,Satiated,Hungry,NO,15,4,0,YES
175,2023,Hungry,Satiated,NO,40,5,2,YES
183,2023,Satiated,Satiated,YES,15,3,2,YES
173,2023,Hungry,Hungry,YES,50,4,3,YES
195,2023,Hungry,Satiated,YES,40,6,2,YES
